iter	Passed	Remaining
583	4073	30805
584	4080	30794
585	4086	30784
586	4093	30772
587	4099	30762
588	4106	30751
589	4112	30741
590	4119	30733
591	4126	30724
592	4132	30713
593	4139	30704
594	4145	30694
595	4152	30682
596	4159	30674
597	4165	30664
598	4172	30657
599	4179	30646
600	4185	30637
601	4192	30626
602	4198	30617
603	4205	30611
604	4212	30600
605	4220	30604
606	4227	30593
607	4233	30583
608	4240	30572
609	4246	30563
610	4253	30556
611	4260	30545
612	4266	30536
613	4273	30527
614	4280	30517
615	4286	30506
616	4293	30498
617	4300	30490
618	4307	30485
619	4314	30480
620	4321	30470
621	4327	30458
622	4333	30448
623	4340	30438
624	4346	30428
625	4353	30417
626	4359	30406
627	4366	30395
628	4372	30385
629	4379	30375
630	4385	30367
631	4392	30356
632	4399	30351
633	4409	30365
634	4419	30377
635	4427	30376
636	4436	30384
637	4443	30381
638	4451	30379
639	4457	30369
640	4465	30363
641	4471	30354
642	4478	30345
643	4484	30335
644	4491	30327
645	4498	30317
646	4504	30306
647	4511	30297
648	4517	30286
649	4524	30277
650	4531	30272
651	4538	30265
652	4544	30255
653	4551	30246
654	4558	30236
655	4564	30225
656	4572	30223
657	4578	30213
658	4585	30203
659	4591	30194
660	4598	30184
661	4604	30175
662	4611	30165
663	4618	30159
664	4625	30150
665	4631	30141
666	4638	30134
667	4644	30122
668	4652	30117
669	4658	30106
670	4665	30097
671	4671	30087
672	4678	30077
673	4684	30067
674	4691	30061
675	4700	30066
676	4707	30059
677	4714	30052
678	4721	30045
679	4727	30036
680	4735	30031
681	4742	30028
682	4749	30022
683	4756	30014
684	4763	30005
685	4770	29998
686	4776	29987
687	4783	29978
688	4789	29968
689	4796	29958
690	4802	29948
691	4808	29938
692	4816	29934
693	4823	29930
694	4830	29921
695	4837	29912
696	4843	29904
697	4850	29897
698	4857	29886
699	4864	29879
700	4870	29869
701	4877	29859
702	4883	29850
703	4890	29840
704	4896	29828
705	4902	29818
706	4908	29808
707	4915	29797
708	4921	29788
709	4928	29778
710	4934	29768
711	4941	29758
712	4947	29748
713	4954	29739
714	4960	29729
715	4967	29723
716	4974	29713
717	4981	29708
718	4987	29698
719	4994	29689
720	5000	29679
721	5007	29670
722	5014	29661
723	5020	29652
724	5027	29645
725	5034	29637
726	5041	29628
727	5047	29619
728	5053	29608
729	5060	29602
730	5067	29592
731	5073	29583
732	5080	29575
733	5087	29565
734	5093	29555
735	5099	29545
736	5106	29537
737	5113	29530
738	5120	29521
739	5126	29511
740	5132	29501
741	5139	29492
742	5145	29482
743	5152	29473
744	5158	29464
745	5165	29454
746	5171	29445
747	5178	29436
748	5184	29426
749	5191	29417
750	5199	29417
751	5206	29413
752	5213	29405
753	5220	29398
754	5227	29392
755	5234	29384
756	5241	29378
757	5247	29368
758	5254	29362
759	5261	29354
760	5268	29348
761	5275	29342
762	5282	29332
763	5289	29325
764	5295	29315
765	5302	29307
766	5309	29300
767	5315	29291
768	5322	29281
769	5328	29273
770	5335	29265
771	5342	29256
772	5348	29248
773	5355	29238
774	5361	29229
775	5367	29219
776	5374	29211
777	5381	29201
778	5387	29194
779	5394	29185
780	5400	29175
781	5407	29166
782	5413	29157
783	5420	29147
784	5426	29137
785	5433	29128
786	5439	29119
787	5446	29110
788	5452	29102
789	5459	29092
790	5465	29084
791	5472	29077
792	5479	29067
793	5486	29063
794	5492	29054
795	5499	29046
796	5506	29037
797	5513	29029
798	5520	29023
799	5526	29016
800	5533	29008
801	5540	28999
802	5546	28990
803	5553	28980
804	5559	28971
805	5565	28962
806	5572	28953
807	5578	28944
808	5585	28934
809	5591	28926
810	5598	28916
811	5605	28910
812	5611	28901
813	5618	28894
814	5625	28885
815	5631	28876
816	5638	28868
817	5644	28858
818	5651	28851
819	5657	28841
820	5664	28834
821	5671	28829
822	5678	28820
823	5685	28811
824	5691	28802
825	5698	28796
826	5705	28788
827	5711	28778
828	5717	28767
829	5723	28755
830	5729	28743
831	5735	28730
832	5742	28724
833	5751	28727
834	5760	28732
835	5768	28733
836	5776	28732
837	5784	28728
838	5790	28719
839	5798	28713
840	5804	28707
841	5811	28700
842	5818	28692
843	5825	28683
844	5831	28676
845	5839	28672
846	5848	28675
847	5855	28668
848	5862	28661
849	5868	28652
850	5875	28643
851	5882	28637
852	5888	28628
853	5895	28621
854	5901	28611
855	5909	28606
856	5916	28600
857	5923	28594
858	5929	28585
859	5936	28577
860	5942	28568
861	5949	28560
862	5955	28551
863	5962	28542
864	5968	28533
865	5975	28524
866	5981	28515
867	5988	28506
868	5994	28497
869	6001	28489
870	6007	28480
871	6014	28470
872	6021	28465
873	6027	28457
874	6034	28448
875	6041	28442
876	6048	28433
877	6054	28426
878	6061	28417
879	6068	28411
880	6075	28404
881	6081	28395
882	6088	28387
883	6095	28379
884	6101	28371
885	6108	28362
886	6114	28354
887	6122	28348
888	6128	28339
889	6135	28331
890	6141	28322
891	6148	28314
892	6155	28307
893	6161	28299
894	6168	28290
895	6174	28282
896	6183	28286
897	6190	28277
898	6198	28275
899	6206	28276
900	6214	28270
901	6221	28264
902	6228	28258
903	6235	28252
904	6242	28246
905	6249	28239
906	6255	28231
907	6262	28222
908	6269	28214
909	6275	28205
910	6282	28196
911	6288	28188
912	6294	28179
913	6301	28172
914	6308	28162
915	6315	28156
916	6321	28148
917	6328	28140
918	6335	28134
919	6341	28125
920	6349	28120
921	6355	28111
922	6362	28104
923	6369	28095
924	6375	28086
925	6382	28078
926	6388	28069
927	6395	28060
928	6401	28052
929	6407	28043
930	6414	28034
931	6420	28026
932	6427	28017
933	6433	28007
934	6440	27999
935	6446	27990
936	6453	27982
937	6459	27974
938	6466	27967
939	6473	27959
940	6480	27952
941	6486	27943
942	6493	27934
943	6499	27926
944	6506	27917
945	6512	27908
946	6518	27899
947	6525	27892
948	6532	27886
949	6539	27878
950	6545	27869
951	6552	27860
952	6559	27855
953	6566	27847
954	6572	27840
955	6579	27832
956	6586	27824
957	6593	27819
958	6600	27811
959	6606	27804
960	6613	27796
961	6620	27788
962	6626	27780
963	6633	27771
964	6639	27763
965	6647	27758
966	6653	27749
967	6660	27741
968	6666	27733
969	6673	27724
970	6679	27716
971	6686	27708
972	6692	27700
973	6699	27692
974	6706	27683
975	6713	27678
976	6719	27668
977	6725	27659
978	6732	27650
979	6738	27641
980	6745	27634
981	6751	27625
982	6758	27619
983	6765	27611
984	6773	27609
985	6780	27603
986	6787	27595
987	6793	27587
988	6800	27579
989	6807	27572
990	6813	27564
991	6820	27555
992	6826	27547
993	6833	27539
994	6839	27530
995	6846	27522
996	6852	27514
997	6859	27505
998	6866	27499
999	6873	27492
1000	6879	27484
1001	6886	27476
1002	6893	27470
1003	6899	27461
1004	6906	27453
1005	6912	27444
1006	6919	27436
1007	6925	27427
1008	6932	27419
1009	6938	27410
1010	6945	27402
1011	6951	27394
1012	6958	27386
1013	6964	27378
1014	6971	27371
1015	6977	27362
1016	6985	27356
1017	6991	27348
1018	6998	27340
1019	7005	27335
1020	7012	27327
1021	7019	27321
1022	7025	27312
1023	7032	27307
1024	7039	27299
1025	7046	27292
1026	7052	27284
1027	7059	27276
1028	7065	27267
1029	7072	27259
1030	7080	27256
1031	7086	27248
1032	7094	27245
1033	7103	27246
1034	7112	27248
1035	7121	27247
1036	7129	27245
1037	7137	27243
1038	7144	27235
1039	7151	27231
1040	7158	27223
1041	7164	27215
1042	7172	27210
1043	7178	27202
1044	7186	27197
1045	7192	27188
1046	7199	27183
1047	7208	27182
1048	7215	27178
1049	7222	27171
1050	7229	27165
1051	7237	27159
1052	7244	27153
1053	7250	27146
1054	7257	27139
1055	7264	27130
1056	7271	27124
1057	7277	27116
1058	7284	27109
1059	7291	27102
1060	7298	27094
1061	7304	27086
1062	7311	27079
1063	7317	27070
1064	7324	27062
1065	7331	27054
1066	7337	27047
1067	7344	27039
1068	7350	27030
1069	7357	27022
1070	7363	27014
1071	7370	27006
1072	7376	26997
1073	7383	26989
1074	7390	26983
1075	7397	26976
1076	7404	26969
1077	7410	26962
1078	7417	26953
1079	7424	26947
1080	7430	26938
1081	7437	26931
1082	7443	26923
1083	7450	26915
1084	7457	26908
1085	7463	26900
1086	7470	26892
1087	7477	26884
1088	7483	26877
1089	7490	26868
1090	7496	26861
1091	7503	26853
1092	7510	26845
1093	7516	26837
1094	7522	26828
1095	7529	26821
1096	7537	26815
1097	7543	26807
1098	7549	26798
1099	7556	26789
1100	7562	26782
1101	7569	26773
1102	7576	26767
1103	7582	26759
1104	7589	26752
1105	7595	26743
1106	7602	26737
1107	7609	26729
1108	7615	26721
1109	7622	26714
1110	7629	26706
1111	7636	26699
1112	7642	26691
1113	7649	26682
1114	7655	26674
1115	7662	26666
1116	7668	26658
1117	7675	26650
1118	7682	26644
1119	7689	26637
1120	7696	26631
1121	7704	26629
1122	7715	26636
1123	7730	26658
1124	7739	26658
1125	7748	26657
1126	7756	26656
1127	7763	26649
1128	7770	26641
1129	7776	26633
1130	7783	26626
1131	7790	26618
1132	7796	26609
1133	7803	26603
1134	7809	26595
1135	7816	26588
1136	7823	26579
1137	7830	26573
1138	7836	26565
1139	7843	26557
1140	7850	26550
1141	7856	26542
1142	7863	26535
1143	7870	26527
1144	7876	26520
1145	7883	26513
1146	7890	26504
1147	7897	26497
1148	7903	26490
1149	7910	26484
1150	7917	26477
1151	7924	26470
1152	7931	26463
1153	7938	26457
1154	7946	26454
1155	7953	26447
1156	7960	26441
1157	7967	26434
1158	7974	26428
1159	7982	26424
1160	7990	26420
1161	7997	26414
1162	8004	26408
1163	8011	26403
1164	8018	26396
1165	8025	26390
1166	8033	26387
1167	8040	26379
1168	8047	26372
1169	8053	26364
1170	8062	26362
1171	8068	26354
1172	8076	26349
1173	8083	26344
1174	8090	26338
1175	8097	26331
1176	8105	26327
1177	8112	26320
1178	8119	26313
1179	8127	26310
1180	8134	26304
1181	8141	26298
1182	8148	26292
1183	8157	26289
1184	8163	26281
1185	8170	26274
1186	8176	26266
1187	8184	26261
1188	8192	26257
1189	8198	26249
1190	8204	26240
1191	8212	26234
1192	8219	26227
1193	8225	26221
1194	8233	26215
1195	8240	26208
1196	8247	26203
1197	8255	26200
1198	8262	26192
1199	8269	26185
1200	8276	26178
1201	8282	26171
1202	8290	26167
1203	8297	26161
1204	8304	26154
1205	8311	26147
1206	8318	26140
1207	8324	26132
1208	8331	26125
1209	8338	26117
1210	8344	26109
1211	8351	26103
1212	8358	26096
1213	8365	26088
1214	8372	26082
1215	8379	26075
1216	8386	26068
1217	8394	26066
1218	8402	26062
1219	8410	26058
1220	8417	26051
1221	8423	26043
1222	8431	26038
1223	8439	26034
1224	8445	26026
1225	8452	26017
1226	8458	26009
1227	8465	26003
1228	8472	25996
1229	8478	25987
1230	8486	25982
1231	8495	25983
1232	8505	25984
1233	8513	25981
1234	8522	25980
1235	8528	25973
1236	8537	25970
1237	8543	25961
1238	8550	25956
1239	8557	25948
1240	8564	25942
1241	8571	25934
